,Date,TEMP
1,1/1/1981,-18.72072939
2,1/2/1981,-16.78979174
3,1/3/1981,-17.14145835
4,1/4/1981,-27.67385439
5,1/5/1981,-26.46812495
6,1/6/1981,-18.40333331
7,1/7/1981,-14.11708323
8,1/8/1981,-10.41666675
9,1/9/1981,-19.39760415
10,1/10/1981,-17.24781255
11,1/11/1981,-16.51927082
12,1/12/1981,-22.33156264
13,1/13/1981,-21.47218748
14,1/14/1981,-19.19604174
15,1/15/1981,-17.720625
16,1/16/1981,-16.85802082
17,1/17/1981,-16.86874994
18,1/18/1981,-14.44218749
19,1/19/1981,-12.11062493
20,1/20/1981,-7.493749976
21,1/21/1981,-13.96968736
22,1/22/1981,-13.4748957
23,1/23/1981,-9.206666668
24,1/24/1981,-8.146874974
25,1/25/1981,-8.491354167
26,1/26/1981,-7.838854184
27,1/27/1981,-1.351458341
28,1/28/1981,-1.948541681
29,1/29/1981,-12.43572915
30,1/30/1981,-13.27697915
31,1/31/1981,-14.03093747
32,2/1/1981,-10.87322913
33,2/2/1981,-6.262499978
34,2/3/1981,-0.399687509
35,2/4/1981,-13.36447912
36,2/5/1981,-14.71656257
37,2/6/1981,-14.14718755
38,2/7/1981,-11.01447912
39,2/8/1981,-7.339374999
40,2/9/1981,-2.923229168
41,2/10/1981,-9.460104148
42,2/11/1981,-7.349895835
43,2/12/1981,1.906250025
44,2/13/1981,-13.17385429
45,2/14/1981,-12.02416668
46,2/15/1981,-8.924270888
47,2/16/1981,-6.754895826
48,2/17/1981,0.736041665
49,2/18/1981,4.900833368
50,2/19/1981,2.982916673
51,2/20/1981,4.326458385
52,2/21/1981,4.5613542
53,2/22/1981,3.792604133
54,2/23/1981,1.899270835
55,2/24/1981,3.648020824
56,2/25/1981,2.916770846
57,2/26/1981,0.851354179
58,2/27/1981,0.722812504
59,2/28/1981,-0.798437494
60,3/1/1981,-0.29802082
61,3/2/1981,-1.141979173
62,3/3/1981,-1.794062498
63,3/4/1981,-7.553333273
64,3/5/1981,-6.574687491
65,3/6/1981,-3.312395841
66,3/7/1981,0.409479171
67,3/8/1981,-0.549687506
68,3/9/1981,0.157604157
69,3/10/1981,-1.227916683
70,3/11/1981,-3.764270887
71,3/12/1981,-3.160104173
72,3/13/1981,-2.997812497
73,3/14/1981,0.163958348
74,3/15/1981,-6.625104159
75,3/16/1981,-3.885937522
76,3/17/1981,-6.671458354
77,3/18/1981,-9.907812615
78,3/19/1981,-9.940312564
79,3/20/1981,-5.516250034
80,3/21/1981,-1.650416675
81,3/22/1981,-2.96843752
82,3/23/1981,-1.066770837
83,3/24/1981,0.577916697
84,3/25/1981,1.661979144
85,3/26/1981,-1.470937515
86,3/27/1981,2.601354182
87,3/28/1981,-0.664687489
88,3/29/1981,3.266979193
89,3/30/1981,8.692291707
90,3/31/1981,10.5905208
91,4/1/1981,4.114687507
92,4/2/1981,3.582187499
93,4/3/1981,1.886875004
94,4/4/1981,8.639687548
95,4/5/1981,11.49874999
96,4/6/1981,6.45312502
97,4/7/1981,0.751875011
98,4/8/1981,4.146875024
99,4/9/1981,11.77052075
100,4/10/1981,10.17739584
101,4/11/1981,7.114687512
102,4/12/1981,6.240729163
103,4/13/1981,0.844999994
104,4/14/1981,2.853645831
105,4/15/1981,-0.267500003
106,4/16/1981,-4.87114582
107,4/17/1981,-0.972083323
108,4/18/1981,5.674687525
109,4/19/1981,4.537187482
110,4/20/1981,3.193749984
111,4/21/1981,-0.99302082
112,4/22/1981,-2.786666669
113,4/23/1981,0.517083342
114,4/24/1981,7.560104122
115,4/25/1981,1.443541682
116,4/26/1981,3.156354149
117,4/27/1981,7.301249981
118,4/28/1981,7.706666619
119,4/29/1981,9.230208258
120,4/30/1981,6.378645748
121,5/1/1981,8.368958294
122,5/2/1981,8.747187545
123,5/3/1981,8.201041698
124,5/4/1981,9.556041598
125,5/5/1981,10.55760415
126,5/6/1981,14.4952084
127,5/7/1981,11.27718749
128,5/8/1981,4.618125066
129,5/9/1981,10.19479173
130,5/10/1981,10.38166664
131,5/11/1981,13.05375
132,5/12/1981,13.1
133,5/13/1981,11.77354175
134,5/14/1981,8.844270766
135,5/15/1981,10.88583332
136,5/16/1981,14.85854163
137,5/17/1981,9.779895802
138,5/18/1981,4.095416655
139,5/19/1981,2.824687476
140,5/20/1981,7.927708377
141,5/21/1981,9.358124991
142,5/22/1981,13.0015625
143,5/23/1981,9.30906262
144,5/24/1981,11.24354158
145,5/25/1981,15.40760404
146,5/26/1981,19.5036461
147,5/27/1981,18.426875
148,5/28/1981,19.14312482
149,5/29/1981,19.41197928
150,5/30/1981,16.75604161
151,5/31/1981,17.61781259
152,6/1/1981,10.34937499
153,6/2/1981,11.42697914
154,6/3/1981,14.43395835
155,6/4/1981,16.62187485
156,6/5/1981,16.60135424
157,6/6/1981,20.18479156
158,6/7/1981,17.00302084
159,6/8/1981,12.55156257
160,6/9/1981,15.45124998
161,6/10/1981,13.84197927
162,6/11/1981,14.97906256
163,6/12/1981,13.3075
164,6/13/1981,15.61864589
165,6/14/1981,16.62125017
166,6/15/1981,18.47093757
167,6/16/1981,16.14968763
168,6/17/1981,19.18052097
169,6/18/1981,17.03114585
170,6/19/1981,18.02302074
171,6/20/1981,20.3860416
172,6/21/1981,17.55145812
173,6/22/1981,17.74708315
174,6/23/1981,15.35135412
175,6/24/1981,15.14020822
176,6/25/1981,17.0453124
177,6/26/1981,16.51510421
178,6/27/1981,14.13656253
179,6/28/1981,15.5895834
180,6/29/1981,17.88270827
181,6/30/1981,17.95749994
182,7/1/1981,18.89114579
183,7/2/1981,19.63614587
184,7/3/1981,21.57104174
185,7/4/1981,23.02197901
186,7/5/1981,21.90260398
187,7/6/1981,19.60093768
188,7/7/1981,22.39281261
189,7/8/1981,20.89114579
190,7/9/1981,22.80645855
191,7/10/1981,19.588021
192,7/11/1981,20.40802081
193,7/12/1981,18.68239574
194,7/13/1981,18.09937493
195,7/14/1981,16.32468754
196,7/15/1981,15.27854162
197,7/16/1981,15.52822916
198,7/17/1981,17.49906254
199,7/18/1981,19.5239584
200,7/19/1981,20.37416673
201,7/20/1981,18.18812521
202,7/21/1981,17.67385415
203,7/22/1981,20.17500015
204,7/23/1981,15.87270846
205,7/24/1981,14.65010413
206,7/25/1981,17.79656243
207,7/26/1981,18.15385417
208,7/27/1981,19.72375
209,7/28/1981,15.43822924
210,7/29/1981,16.49458345
211,7/30/1981,12.70270836
212,7/31/1981,16.98322936
213,8/1/1981,19.85406248
214,8/2/1981,21.04020834
215,8/3/1981,21.22125014
216,8/4/1981,21.02114594
217,8/5/1981,21.37968751
218,8/6/1981,19.98666664
219,8/7/1981,15.81010415
220,8/8/1981,15.24229179
221,8/9/1981,17.30739582
222,8/10/1981,18.77729174
223,8/11/1981,20.09989599
224,8/12/1981,21.71291665
225,8/13/1981,19.57812496
226,8/14/1981,14.61583336
227,8/15/1981,14.04197913
228,8/16/1981,13.93406256
229,8/17/1981,18.44656261
230,8/18/1981,13.72614594
231,8/19/1981,14.22447912
232,8/20/1981,16.58864594
233,8/21/1981,17.20677074
234,8/22/1981,19.43052089
235,8/23/1981,20.94083337
236,8/24/1981,18.96958331
237,8/25/1981,15.06322908
238,8/26/1981,11.7044793
239,8/27/1981,15.30479167
240,8/28/1981,12.84489582
241,8/29/1981,14.23750007
242,8/30/1981,16.67270835
243,8/31/1981,18.38104165
244,9/1/1981,15.43197926
245,9/2/1981,16.35437487
246,9/3/1981,16.0217708
247,9/4/1981,15.57364565
248,9/5/1981,16.59583334
249,9/6/1981,16.59895849
250,9/7/1981,14.70208339
251,9/8/1981,15.61593749
252,9/9/1981,14.80552087
253,9/10/1981,9.618124962
254,9/11/1981,10.03739582
255,9/12/1981,14.05270837
256,9/13/1981,14.08114588
257,9/14/1981,16.06427087
258,9/15/1981,17.59395838
259,9/16/1981,14.83375003
260,9/17/1981,11.72916669
261,9/18/1981,12.62572912
262,9/19/1981,13.4788541
263,9/20/1981,9.868437469
264,9/21/1981,8.773750007
265,9/22/1981,8.63958329
266,9/23/1981,6.311145812
267,9/24/1981,8.811979135
268,9/25/1981,7.354687492
269,9/26/1981,9.894791722
270,9/27/1981,10.50052088
271,9/28/1981,11.87645831
272,9/29/1981,9.199895879
273,9/30/1981,5.030833304
274,10/1/1981,4.326562499
275,10/2/1981,7.001666695
276,10/3/1981,6.753854185
277,10/4/1981,7.02010411
278,10/5/1981,6.193125059
279,10/6/1981,8.063749999
280,10/7/1981,9.047812541
281,10/8/1981,6.137395779
282,10/9/1981,5.32593747
283,10/10/1981,3.998645867
284,10/11/1981,2.592812503
285,10/12/1981,2.785625016
286,10/13/1981,4.556562523
287,10/14/1981,6.413020839
288,10/15/1981,8.168645879
289,10/16/1981,7.964791665
290,10/17/1981,6.31468749
291,10/18/1981,3.776145831
292,10/19/1981,4.714374999
293,10/20/1981,6.09708331
294,10/21/1981,4.426041663
295,10/22/1981,8.332708359
296,10/23/1981,7.853854169
297,10/24/1981,6.630833298
298,10/25/1981,-0.042395823
299,10/26/1981,1.556354158
300,10/27/1981,4.262083342
301,10/28/1981,7.919479171
302,10/29/1981,2.806562513
303,10/30/1981,0.603541677
304,10/31/1981,1.288437501
305,11/1/1981,2.408124973
306,11/2/1981,4.901979188
307,11/3/1981,7.993229181
308,11/4/1981,2.955000018
309,11/5/1981,1.814166655
310,11/6/1981,3.789270873
311,11/7/1981,5.895520856
312,11/8/1981,2.483020825
313,11/9/1981,1.615416663
314,11/10/1981,0.531875014
315,11/11/1981,-3.158020834
316,11/12/1981,-1.695520841
317,11/13/1981,-4.950208376
318,11/14/1981,-0.582708329
319,11/15/1981,1.733437513
320,11/16/1981,4.087499991
